lemma,n,pos,grc,en,ja,fr,usg_ja,usg_en,cdo
ϭⲗⲟϭ,1,N,,"bed, couch",寝床,lit,,,
ϭⲙϭⲟⲙ,1,V,,"be able, have power",できる,pouvoir,,,
ϭⲙϭⲱⲙ,1,V,,,,,,,
ϭⲛϩⲏⲩ,1,V,,,,,,,
ϭⲛⲁⲣⲓⲕⲉ,1,V,,,,,,,
ϭⲛⲟⲛ,1,VSTAT,,"be soft, tender (stat.)",柔らかい,être tendre (statif),,,
ϭⲟⲉⲓⲗⲉ,1,VSTAT,,,,,,,
ϭⲟⲓⲗⲉ,1,VSTAT,,,,,,,
ϭⲟⲗ,1,N,,"lie, falsehood",偽り,mensonge,,,
ϭⲟⲛⲥ,1,N,,,,,,,
ϭⲣⲟϭ,1,N,,seed,種,semence,,,
ϭⲣⲟⲙⲡⲉ,1,N,,,,,,,
ϭⲱ,1,V,,"stay, remain",とどまる,rester,,,
ϭⲱϣⲧ,1,V,,"look, gaze",見る,regarder,,,
ϭⲱⲃⲉ,1,N,,,,,,,
ϭⲱⲗ,1,V,,,,,,,
ϭⲱⲗⲡ,1,V,,"reveal, uncover",現す,révéler,,,
ϭⲱⲛⲧ,1,V,,be angry,怒る,se fâcher,,,
ϭⲱⲡⲉ,1,V,,,,,,,
ϯϩⲉ,1,V,,be drunk; fall,酔う・倒れる,être ivre ; tomber,,,
ϯⲉⲗⲉⲏⲙⲟⲥⲩⲛⲏ,1,V,,give alms,施しをする,faire l'aumône,,,
ϯⲉⲟⲟⲩ,1,V,,"give glory, glorify",栄光を帰す,glorifier,,,
ϯⲉⲣⲱⲧⲉ,1,V,,,,,,,
ϯⲕⲁⲣⲡⲟⲥ,1,V,,bear fruit,実を結ぶ,porter du fruit,,,
ϯⲙⲉ,1,N,,,,,,,
ϯⲙⲧⲟⲛ,1,V,,,,,,,
ϯⲡⲉ,1,N,,"taste, flavour",味,goût,,,
ϯⲥⲟ,1,V,,,,,,,
ϯⲧⲕⲁⲥ,1,V,,,,,,,
ϯⲧⲱⲛ,1,N,,"strife, fighting",争い,querelle,,,
ⲁϣ,1,PINT,,"which?, what?, how?",どの・何・どう,"quel ?, comment ?",,,
ⲁϣⲁⲓ,1,N,,multitude; be many,多数,multitude,,,
ⲁϩⲏⲩ,1,ADV,,,,,,,
ⲁϩⲟ,1,N,,"treasure, storehouse",宝・倉,trésor,,,
ⲁϫⲛ,1,PREP,,,,,,,
ⲁϭⲣⲏⲛ,1,N,,,,,,,
ⲁⲃⲣⲁϩⲁⲙ,1,NPROP,,Abraham,アブラハム,Abraham,,,
ⲁⲃⲱ,1,N,,,,,,,
ⲁⲅⲁⲑⲟⲛ,1,N,Y,good (ἀγαθόν),善,bien (ἀγαθόν),,,
ⲁⲑⲉⲧⲉⲓ,1,V,Y,"reject, set aside (ἀθετέω)",退ける,rejeter (ἀθετέω),,,
ⲁⲑⲉⲧⲓ,1,V,Y,reject (ἀθετέω),退ける,rejeter (ἀθετέω),,,
ⲁⲓⲧⲏⲙⲁ,1,N,Y,,,,,,
ⲁⲕⲁⲑⲁⲣⲧⲟⲥ,1,N,Y,,,,,,
ⲁⲕⲉⲣⲁⲓⲟⲥ,1,N,Y,,,,,,
ⲁⲙⲛⲧⲉ,1,NPROP,,,,,,,
ⲁⲛⲁⲅⲕⲁⲍⲉ,1,V,Y,compel (ἀναγκάζω),強いる,contraindre (ἀναγκάζω),,,
ⲁⲛⲁⲅⲕⲏ,1,N,Y,,,,,,
ⲁⲛⲁⲓ,1,N,,,,,,,
ⲁⲛⲁⲭⲱⲣⲉⲓ,1,V,Y,,,,,,
ⲁⲛⲛⲁ,1,NPROP,,"Anna, Hannah",アンナ,Anne,,,
ⲁⲛⲟⲕ,1,PPER,,I (independent),私（独立）,"moi, je (indép.)",,,
ⲁⲛⲟⲙⲓⲁ,1,N,Y,,,,,,
ⲁⲛⲟⲛ,1,PPER,,we (independent),私たち（独立）,nous (indép.),,,
ⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ,1,NPROP,Y,,,,,,
ⲁⲝⲓⲟⲥ,1,N,Y,worthy (ἄξιος),ふさわしい,digne (ἄξιος),,,
ⲁⲡⲉ,1,N,,head,頭,tête,,,
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ,1,N,Y,apostle (ἀπόστολος),使徒,apôtre (ἀπόστολος),,,
ⲁⲡⲟⲧⲁⲥⲥⲉ,1,V,Y,renounce (ἀποτάσσω),断念する,renoncer (ἀποτάσσω),,,
ⲁⲣⲛⲁ,1,V,Y,deny (ἀρνέομαι),否む,renier (ἀρνέομαι),,,
ⲁⲣⲭⲁⲓⲟⲥ,1,N,Y,ancient (ἀρχαῖος),古の,ancien (ἀρχαῖος),,,
ⲁⲣⲭⲉⲓ,1,V,Y,"begin, rule (ἄρχω)",始める・治める,commencer (ἄρχω),,,
ⲁⲥϩ,1,N,,,,,,,
ⲁⲥⲕⲟⲥ,1,N,,wineskin (ἀσκός),皮袋,outre (ἀσκός),,,
ⲁⲧⲙⲡϣⲁ,1,N,,,,,,,
ⲁⲧⲛⲁϩⲧⲉ,1,N,,,,,,,
ⲁⲧⲥⲃⲱ,1,N,,,,,,,
ⲁⲧⲥⲟⲟⲩⲛ,1,N,,,,,,,
ⲁⲧⲥⲱⲧⲙ,1,N,,,,,,,
ⲁⲩⲝⲁⲛⲉ,1,V,Y,,,,,,
ⲁⲩⲧⲟⲩ,1,FM,Y,,,,,,
ⲃ,1,PREP,,,,,,,
ⲃⲁ,1,N,,,,,,,
ⲃⲁϣⲟⲣ,1,N,,,,,,,
ⲃⲁⲃⲉⲣⲱⲙⲉ,1,N,,,,,,,
ⲃⲁⲗ,1,N,,eye,目,œil,,,
ⲃⲁⲗⲗⲁ,1,NPROP,,,,,,,
ⲃⲁⲡⲧⲓⲥⲧⲏⲥ,1,N,Y,baptist (βαπτιστής),洗礼者,baptiste (βαπτιστής),,,
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ,1,NPROP,,,,,,,
ⲃⲉⲛⲓⲁⲙⲓⲛ,1,NPROP,,,,,,,
ⲃⲏⲃ,1,N,,,,,,,
ⲃⲗⲃⲓⲗⲉ,1,N,,,,,,,
ⲃⲗⲗⲉ,1,N,,blind person,盲人,aveugle,,,
ⲃⲣⲃⲣ,1,V,,,,,,,
ⲃⲣⲣⲉ,1,N,,new,新しい,nouveau,,,
ⲃⲱⲗ,1,V,,"loosen, dissolve, untie",解く,"délier, dissoudre",,,
ⲃⲱⲧⲉ,1,VSTAT,,,,,,,
ⲅⲁⲙⲟⲥ,1,N,Y,"marriage, wedding (γάμος)",婚礼,mariage (γάμος),,,
ⲅⲛⲱⲥⲓⲥ,1,N,Y,,,,,,
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ,1,N,Y,,,,,,
ⲅⲣⲁⲫⲏ,1,N,Y,scripture (γραφή),聖書,écriture (γραφή),,,
ⲇⲉⲃⲃⲱⲣⲁ,1,NPROP,,,,,,,
ⲇⲉⲓⲡⲛⲟⲛ,1,N,Y,"banquet, supper (δεῖπνον)",晩餐,banquet (δεῖπνον),,,
ⲇⲓⲁⲑⲏⲕⲏ,1,N,Y,,,,,,
ⲇⲓⲁⲕⲟⲛⲓⲁ,1,N,Y,"service, ministry (διακονία)",奉仕,service (διακονία),,,
ⲇⲓⲁⲧⲟⲩⲧⲟ,1,FM,,,,,,,
ⲇⲓⲇⲩⲙⲟⲥ,1,NPROP,Y,,,,,,
ⲇⲓⲕⲁⲓⲟⲥ,1,N,Y,righteous (δίκαιος),義人,juste (δίκαιος),,,
ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ,1,N,Y,righteousness (δικαιοσύνη),義,justice (δικαιοσύνη),,,
ⲇⲓⲱⲅⲙⲟⲥ,1,N,Y,,,,,,
ⲇⲓⲱⲕⲉ,1,V,Y,persecute (διώκω),迫害する,persécuter (διώκω),,,
ⲉϣϫⲉ,1,CONJ,,"if, whether",もし・～かどうか,"si, à savoir si",,,
ⲉϣⲁⲩ,1,N,,,,,,,
ⲉϣⲱⲡⲉ,1,CONJ,,if,もし,si,,,
ⲉϩⲉ,1,N,,"ox, cow",牛,"bœuf, vache",,,
ⲉϩⲏ,1,N,,,,,,,
ⲉϩⲣⲛ,1,PREP,,,,,,,
ⲉϫ[.....],1,X,,,,,,,
ⲉϫⲛ̄,1,PREP,,,,,,,
ⲉⲅⲕⲣⲁⲧⲉⲩⲉ,1,V,,be continent (ἐγκρατεύομαι),節制する,être continent (ἐγκρατεύομαι),,,
ⲉⲇⲉⲙ,1,NPROP,,,,,,,
ⲉⲓϣⲉ,1,VSTAT,,"hang, be hanged (stat.)",掛かる,être suspendu (statif),,,
ⲉⲓⲁⲧ,1,N,,,,,,,
ⲉⲓⲃⲉ,1,VSTAT,,,,,,,
ⲉⲓⲉ,1,PTC,,"then, in that case",それなら,"alors, donc",,,
ⲉⲓⲟⲟⲩⲉ,1,N,,,,,,,
ⲉⲓⲡⲉ,1,N,,,,,,,
ⲉⲓⲣⲏⲛⲏ,1,N,Y,peace (εἰρήνη),平和,paix (εἰρήνη),,,
ⲉⲓⲥ,1,PTC,,"behold, lo",見よ,voici,,,
ⲉⲓⲧⲁ,1,CONJ,Y,"then, next (εἶτα)",次に,ensuite (εἶτα),,,
ⲉⲓⲧⲉ,1,CONJ,Y,"whether, or (εἴτε)",あるいは,"soit, ou (εἴτε)",,,
ⲉⲓⲱⲉ,1,V,,,,,,,
ⲉⲕⲓⲃⲉ,1,N,,breast,乳房,sein,,,
ⲉⲗⲓⲥⲁⲃⲉⲧ,1,NPROP,,,,,,,
ⲉⲗⲟⲟⲗⲉ,1,N,,"grape, vine",ぶどう,"raisin, vigne",,,
ⲉⲗⲟⲩ,1,N,,,,,,,
ⲉⲙⲁⲧⲉ,1,ADV,,,,,,,
ⲉⲙⲡⲟⲣⲟⲥ,1,N,Y,,,,,,
ⲉⲛⲉϩ,1,N,,"eternity, ever",永遠,éternité,,,
ⲉⲛⲧⲟⲗⲏ,1,N,Y,,,,,,
ⲉⲡⲉⲓ,1,CONJ,Y,"since, because (ἐπεί)",～だから,puisque (ἐπεί),,,
ⲉⲡⲉⲓⲇⲏ,1,CONJ,Y,"since, because (ἐπείδη)",〜なので,comme (ἐπείδη),,,C8985
ⲉⲡⲓⲑⲩⲙⲉⲓ,1,V,Y,"desire, covet (ἐπιθυμέω)",欲する,convoiter (ἐπιθυμέω),,,
ⲉⲡⲓⲥⲧⲏⲙⲱⲛ,1,N,,,,,,,
ⲉⲡⲓⲥⲧⲟⲗⲏ,1,FM,Y,"letter, epistle (ἐπιστολή)",手紙,lettre (ἐπιστολή),,,
ⲉⲣϣⲁⲛ,1,AUX,,if (conditional),もし～なら,si (conditionnel),,,
ⲉⲣⲁⲧ,1,PREP,,"to, to the feet of",～の所へ,auprès de,,,
ⲉⲣⲅⲁⲧⲏⲥ,1,N,Y,worker (ἐργάτης),働き手,ouvrier (ἐργάτης),,,
ⲉⲣⲏⲩ,1,N,,"companion, one another",仲間・互い,"compagnon, l'un l'autre",,,
ⲉⲣⲛ,1,PREP,,,,,,,
ⲉⲥⲏⲧ,1,N,,"down, downward",下へ,en bas,,,
ⲉⲥⲟⲟⲩ,1,N,,sheep,羊,brebis,,,
ⲉⲧⲉⲣⲉ,1,REL,,(relative converter),（関係変換詞）,(convertisseur relatif),,,
ⲉⲧⲓ,1,ADV,Y,,,,,,
ⲉⲧⲛ,1,PREP,,,,,,,
ⲉⲩ,1,POSS,,,,,,,
ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ,1,N,Y,,,,,,
ⲉⲩⲫⲣⲁⲛⲉ,1,V,Y,,,,,,
ⲍⲉⲗⲫⲁ,1,NPROP,,,,,,,
ⲍⲓⲍⲁⲛⲓⲟⲛ,1,N,Y,"weeds, tares (ζιζάνιον)",毒麦,ivraie (ζιζάνιον),,,
ⲏⲓ,1,N,,house,家,maison,,,
ⲏⲣⲡ,1,N,,wine,ぶどう酒,vin,,,
ⲏⲥⲁⲓⲁⲥ,1,NPROP,,Isaiah,イザヤ,Isaïe,,,
ⲏⲥⲁⲩ,1,NPROP,,Esau,エサウ,Ésaü,,,
ⲑⲁⲗⲁⲥⲥⲁ,1,N,Y,sea (θάλασσα),海,mer (θάλασσα),,,
ⲑⲉⲣⲁⲡⲉⲩⲉ,1,V,Y,,,,,,
ⲑⲙⲕⲟ,1,V,,,,,,,
ⲑⲛⲟ,1,V,,,,,,,
ⲑⲱⲙⲁⲥ,1,NPROP,,Thomas,トマス,Thomas,,,
ⲓⲁⲕⲱⲃ,1,NPROP,,Jacob,ヤコブ,Jacob,,,
ⲓⲁⲕⲱⲃⲟⲥ,1,NPROP,,,,,,,
ⲓⲉⲍⲉⲕⲓⲏⲗ,1,NPROP,,,,,,,
ⲓⲉⲣⲉⲙⲓⲁⲥ,1,NPROP,,,,,,,
ⲓⲏⲥⲟⲩⲥ,1,NPROP,,Jesus,イエス,Jésus,,,
ⲓⲟⲩⲇⲁⲓⲁ,1,NPROP,,,,,,,
ⲓⲟⲩⲇⲁⲓⲟⲥ,1,N,,,,,,,
ⲓⲟⲩⲇⲁⲥ,1,NPROP,,Judas,ユダ,Judas,,,
ⲓⲥⲁⲁⲕ,1,NPROP,,Isaac,イサク,Isaac,,,
ⲓⲥⲙⲁⲏⲗ,1,NPROP,,,,,,,
ⲓⲥⲣⲁⲏⲗ,1,NPROP,,Israel,イスラエル,Israël,,,
ⲓⲧⲛ,1,N,,,,,,,
ⲓⲱϩⲁⲛⲛⲏⲥ,1,NPROP,,John,ヨハネ,Jean,,,
ⲓⲱⲥⲏⲫ,1,NPROP,,,,,,,
ⲓⲱⲥⲓⲁⲥ,1,NPROP,,,,,,,
ⲕⲁϣ,1,N,,,,,,,
ⲕⲁⲏⲓ,1,V,,,,,,,
ⲕⲁⲓⲣⲟⲥ,1,N,Y,,,,,,
ⲕⲁⲓⲥⲁⲣ,1,NPROP,,Caesar,カエサル,César,,,
ⲕⲁⲕⲁϩⲏⲩ,1,V,,,,,,,
ⲕⲁⲕⲉ,1,N,,darkness,闇,ténèbres,,,
ⲕⲁⲕⲟⲛ,1,N,Y,,,,,,
ⲕⲁⲕⲟⲥ,1,N,Y,,,,,,
ⲕⲁⲛ,1,CONJ,Y,even if (κἄν),たとえ～でも,même si (κἄν),,,
ⲕⲁⲣⲡⲟⲥ,1,N,Y,fruit (καρπός),果実,fruit (καρπός),,,
ⲕⲁⲧⲁⲫⲣⲟⲛⲉⲓ,1,V,Y,,,,,,
ⲕⲉⲉⲥ,1,N,,,,,,,
ⲕⲓⲙ,1,V,,move,動く,bouger,,,
ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ,1,V,Y,inherit (κληρονομέω),相続する,hériter (κληρονομέω),,,
ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ,1,N,Y,inheritance (κληρονομία),相続,héritage (κληρονομία),,,
ⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ,1,N,Y,,,,,,
ⲕⲛⲧⲉ,1,N,,,,,,,
ⲕⲟⲗⲁⲍⲉ,1,V,Y,,,,,,
ⲕⲟⲡⲣⲓⲁ,1,N,Y,,,,,,
ⲕⲟⲩⲓ,1,N,,"small, little one",小さい者,petit,,,
ⲕⲣⲓⲧⲏⲥ,1,N,Y,,,,,,
ⲕⲣⲟϥ,1,N,,"guile, deceit",欺き,ruse,,,
ⲕⲧⲟ,1,V,,,,,,,
ⲕⲱ,1,V,,"put, place, leave, allow",置く・残す・許す,"placer, laisser",,,
ⲕⲱϩ,1,N,,,,,,,
ⲕⲱϩⲧ,1,N,,fire,火,feu,,,
ⲕⲱⲃ,1,N,,,,,,,
ⲕⲱⲕ,1,V,,,,,,,
ⲕⲱⲗⲩ,1,V,Y,,,,,,
ⲕⲱⲙϣ,1,N,,,,,,,
ⲕⲱⲙⲏ,1,N,Y,,,,,,
ⲕⲱⲧ,1,V,,build,建てる,bâtir,,,
ⲕⲱⲧϥ,1,V,,"turn, return",巡る・戻る,"tourner, retourner",,,
ⲕⲱⲧⲉ,1,N,,seek; surround; turn,捜す・巡る,chercher ; entourer,,,
ⲗⲁ...,1,N,,,,,,,
ⲗⲏⲥⲧⲏⲥ,1,N,Y,robber (λῃστής),強盗,brigand (λῃστής),,,
ⲗⲓⲁ,1,NPROP,,,,,,,
ⲗⲟ,1,V,,"cease, stop",やめる,cesser,,,
ⲗⲩⲡⲉⲓ,1,V,Y,,,,,,
ⲗⲩⲭⲛⲓⲁ,1,N,Y,,,,,,
ⲙ.....ⲟⲓ,1,X,,,,,,,
ⲙⲁϩ,1,N,,,,,,,
ⲙⲁϫⲉ,1,N,,,,,,,
ⲙⲁⲁϫⲉ,1,N,,ear,耳,oreille,,,
ⲙⲁⲁⲩ,1,N,,mother,母,mère,,,
ⲙⲁⲉⲓⲛ,1,N,,,,,,,
ⲙⲁⲑⲑⲁⲓⲟⲥ,1,NPROP,,,,,,,
ⲙⲁⲕϩ,1,N,,,,,,,
ⲙⲁⲕⲁⲣⲓⲍⲉ,1,V,Y,,,,,,
ⲙⲁⲗⲁⲕⲟⲥ,1,N,Y,,,,,,
ⲙⲁⲗⲓⲥⲧⲁ,1,ADV,Y,especially (μάλιστα),とりわけ,surtout (μάλιστα),,,
ⲙⲁⲣⲅⲁⲣⲓⲧⲏⲥ,1,N,Y,pearl (μαργαρίτης),真珠,perle (μαργαρίτης),,,
ⲙⲁⲣⲓϩⲁⲙ,1,NPROP,,"Mary, Mariam",マリア,Marie,,,
ⲙⲁⲥⲧⲓⲅⲟⲩ,1,V,Y,scourge (μαστιγόω),むち打つ,flageller (μαστιγόω),,,
ⲙⲁⲩⲁⲁ,1,PTC,,,,,,,
ⲙⲉϣⲁⲕ,1,ADV,,perhaps,おそらく,peut-être,,,
ⲙⲉϩⲧⲟⲟⲧ,1,V,,,,,,,
ⲙⲉⲅⲓⲥⲧⲁⲛⲟⲥ,1,N,Y,"nobles, magnates (μεγιστάν)",高官,grands (μεγιστάν),,,
ⲙⲉⲣⲉ,1,NEG,,(negative aorist) does not,（否定アオリスト）～しない,(aoriste négatif),,,
ⲙⲉⲣⲉⲟⲩⲱϩ,1,V,,,,,,,
ⲙⲉⲣⲓⲧ,1,N,,,,,,,
ⲙⲉⲧⲁⲛⲟⲉⲓ,1,V,Y,,,,,,
ⲙⲏⲡⲱⲥ,1,CONJ,Y,,,,,,
ⲙⲏⲥⲉ,1,N,,"interest, usury; offspring",利息・子,intérêt ; rejeton,,,
ⲙⲏⲧⲉ,1,N,,"midst, middle",中央,milieu,,,
ⲙⲓⲛⲉ,1,N,,"kind, sort, manner",種類・仕方,"sorte, manière",,,
ⲙⲓⲥⲉ,1,V,,,,,,,
ⲙⲕⲁϩ,1,N,,"pain, grief; be difficult",苦しみ,douleur ; peine,,,
ⲙⲙⲁⲁⲩ,1,N,,,,,,,
ⲙⲙⲁⲧⲉ,1,ADV,,,,,,,
ⲙⲙⲏⲛⲉ,1,ADV,,,,,,,
ⲙⲙⲓⲛⲙⲙⲟ,1,PTC,,"own, -self",自分自身の,"propre, -même",,,
ⲙⲙⲛⲛⲥⲁ,1,PREP,,,,,,,
ⲙⲙⲟⲛ,1,NEG,,"no, otherwise; there is not",否・さもなければ,non ; sinon,,,
ⲙⲙⲟⲩ,1,N,,,,,,,
ⲙⲛⲛⲥⲁ,1,PREP,,"after, behind",～の後に,après,,,
ⲙⲛⲧϣⲁϥⲧⲉ,1,N,,(quality noun),（性質名詞）,(nom abstrait),,,
ⲙⲛⲧϣⲁⲛϩⲧⲏϥ,1,N,,,,,,,
ⲙⲛⲧϣⲙⲙⲟ,1,N,,,,,,,
ⲙⲛⲧϩⲁⲣϣϩⲏⲧ,1,N,,"patience, forbearance",忍耐,patience,,,
ⲙⲛⲧϩⲏⲕⲉ,1,N,,poverty,貧しさ,pauvreté,,,
ⲙⲛⲧϩⲗⲗⲟ,1,N,,,,,,,
ⲙⲛⲧϩⲗⲗⲱ,1,N,,,,,,,
ⲙⲛⲧϩⲙϩⲁⲗ,1,N,,,,,,,
ⲙⲛⲧϫⲁⲥⲓϩⲏⲧ,1,N,,"arrogance, pride",高慢,arrogance,,,
ⲙⲛⲧϫⲟⲉⲓⲥ,1,N,,,,,,,
ⲙⲛⲧⲁⲧϩⲏⲧ,1,N,,,,,,,
ⲙⲛⲧⲁⲧⲥⲃⲱ,1,N,,lack of instruction,無学,manque d'instruction,,,
ⲙⲛⲧⲁⲧⲥⲟⲟⲩⲛ,1,N,,ignorance,無知,ignorance,,,
ⲙⲛⲧⲁⲧⲥⲱⲧⲙ,1,N,,,,,,,
ⲙⲛⲧⲃⲁⲃⲉⲣⲱⲙⲉ,1,N,,,,,,,
ⲙⲛⲧⲃⲗⲗⲉ,1,N,,,,,,,
ⲙⲛⲧⲉ,1,EXIST,,not have,持たない,ne pas avoir,,,
ⲙⲛⲧⲙⲁⲓ,1,N,,,,,,,
ⲙⲛⲧⲛⲟⲩϫ,1,N,,,,,,,
ⲙⲛⲧⲣⲉϥϭⲛⲁⲣⲓⲕⲉ,1,N,,,,,,,
ⲙⲛⲧⲣⲉϥⲧⲱϩ,1,N,,,,,,,
ⲙⲛⲧⲣⲙⲙⲁⲟ,1,N,,"wealth, riches",富,richesse,,,
ⲙⲛⲧⲥⲁⲃⲉ,1,N,,,,,,,
ⲙⲟⲓϩⲉ,1,N,,,,,,,
ⲙⲟⲕⲙⲉⲕ,1,N,,,,,,,
ⲙⲟⲛⲁⲭⲟⲥ,1,N,Y,monk (μοναχός),修道士,moine (μοναχός),,,
ⲙⲟⲛⲟⲛ,1,CONJ,Y,,,,,,
ⲙⲟⲟⲩ,1,N,,,,,,,
ⲙⲟⲥⲧⲉ,1,V,,hate,憎む,haïr,,,
ⲙⲟⲩϩ,1,V,,fill; be full,満たす,remplir,,,
ⲙⲟⲩⲓ,1,N,,lion,獅子,lion,,,
ⲙⲟⲩⲛ,1,VSTAT,,,,,,,
ⲙⲟⲩⲟⲩⲧ,1,V,,kill,殺す,tuer,,,
ⲙⲟⲩⲣ,1,V,,bind,縛る,lier,,,
ⲙⲡϣⲁ,1,V,,be worthy,ふさわしい,être digne,,,
ⲙⲡⲁⲧⲉ,1,AUX,,"before, not yet",～する前に・まだ～ない,"avant que, pas encore",,,
ⲙⲡⲟⲩ,1,X,,,,,,,
ⲙⲡⲣ,1,NEG,,do not (prohibitive),～するな（禁止）,ne… pas (prohibitif),,,
ⲙⲡⲣⲧⲣⲉ,1,NEG,,do not let (prohibitive causative),～させるな,ne pas laisser (prohibitif),,,
ⲙⲡⲱⲣ,1,V,,do not (prohibitive),～するな,ne pas (prohibitif),,,
ⲙⲣⲣⲉ,1,V,,,,,,,
ⲙⲧⲟ,1,N,,"presence, before",面前,présence,,,
ⲙⲩⲥⲧⲏⲣⲓⲟⲛ,1,N,Y,mystery (μυστήριον),奥義,mystère (μυστήριον),,,
ⲙⲱⲩⲥⲏⲥ,1,NPROP,,Moses,モーセ,Moïse,,,
ⲛ̄ⲛⲉ,1,NEG,,,,,,,
ⲛ̄ⲧⲉ,1,AUX,,,,,,,
ⲛ̄ⲧⲛ̄,1,PREP,,,,,,,
ⲛϩⲟⲩⲛ,1,ADV,,"inside, within",内に,au-dedans,,,
ⲛⲁϣⲉ,1,V,,"be many, be numerous",多い,être nombreux,,,
ⲛⲁϣⲱ,1,V,,,,,,,
ⲛⲁϩⲃ,1,N,,,,,,,
ⲛⲁⲙⲉ,1,ADV,,"truly, really",本当に,vraiment,,,
ⲛⲁⲛⲟⲩ,1,V,,be good,良い,être bon,,,
ⲛⲉϩ,1,N,,,,,,,
ⲛⲉⲉⲓⲁⲧ,1,V,,blessed (is),幸いだ,heureux (est),,,
ⲛⲉⲣⲉ,1,PRET,,(imperfect converter),（未完了過去変換詞）,(convertisseur imparfait),,,
ⲛⲏⲥⲧⲉⲩⲉ,1,V,Y,,,,,,
ⲛⲓϥⲉ,1,V,,,,,,,
ⲛⲕⲟⲧⲕ,1,N,,sleep; bed,眠り・寝床,sommeil ; lit,,,
ⲛⲛⲉ,1,NEG,,(negative optative/future) shall not,（否定未来）～しないように,(futur négatif),,,
ⲛⲛⲕⲟⲧⲕ,1,V,,,,,,,
ⲛⲟϥⲣⲉ,1,N,,"be good, profit",益,"bien, profit",,,
ⲛⲟϭⲛⲉϭ,1,V,,,,,,,
ⲛⲟⲃⲉ,1,N,,sin,罪,péché,,,
ⲛⲟⲉⲓⲕ,1,N,,,,,,,
ⲛⲟⲉⲓⲧ,1,N,,"flour, meal",粉,farine,,,
ⲛⲟⲙⲟⲥ,1,N,Y,,,,,,
ⲛⲟⲩϩⲉ,1,V,,,,,,,
ⲛⲟⲩϫ,1,N,,rope; (also) liar? — cord,綱,corde,,,
ⲛⲟⲩϫⲉ,1,V,,"throw, cast",投げる,jeter,,,
ⲛⲟⲩϭⲥ,1,N,,,,,,,
ⲛⲟⲩⲃ,1,N,,,,,,,
ⲛⲟⲩⲛⲉ,1,N,,,,,,,
ⲛⲧⲁⲕ,1,PPER,,,,,,,
ⲛⲧⲁⲣⲉ,1,AUX,,when (temporal),～した時,lorsque (temporel),,,
ⲛⲧⲉⲣⲉ,1,AUX,,when (temporal),～した時,lorsque (temporel),,,
ⲛⲧⲟⲥ,1,PPER,,"she, her (independent)",彼女（独立）,elle (indép.),,,
ⲛⲧⲱⲧⲛ,1,PPER,,"you (pl., independent)",あなたがた（独立）,vous (indép.),,,
ⲛⲩⲙⲫⲓⲟⲥ,1,N,Y,,,,,,
ⲛⲩⲙⲫⲱⲛ,1,N,Y,,,,,,
ⲟϣⲉ,1,V,,,,,,,
ⲟⲇⲟⲗⲗⲁ,1,NPROP,,,,,,,
ⲟⲓ,1,VSTAT,,,,,,,
ⲟⲓⲕⲟⲩⲙⲉⲛⲏ,1,N,Y,,,,,,
ⲟⲟⲧⲉ,1,N,,,,,,,
ⲟⲣⲅⲏ,1,N,Y,wrath (ὀργή),怒り,colère (ὀργή),,,
ⲟⲩϣⲏ,1,N,,night,夜,nuit,,,
ⲟⲩϩⲟⲣ,1,N,,dog,犬,chien,,,
ⲟⲩⲁⲁ,1,PTC,,"alone, -self",ただ～だけ・自身,"seul, -même",,,
ⲟⲩⲉ,1,VSTAT,,"be far, distant (stat.)",遠い（状態）,être loin (statif),,,
ⲟⲩⲉϣⲛ,1,PREP,,,,,,,
ⲟⲩⲉϩⲥⲁϩⲛⲉ,1,V,,command,命じる,commander,,,
ⲟⲩⲉⲣⲏⲧⲉ,1,N,,foot,足,pied,,,
ⲟⲩⲏⲏⲃ,1,N,,priest,祭司,prêtre,,,
ⲟⲩⲏⲣ,1,PINT,,"how much?, how many?",どれほど,combien ?,,,
ⲟⲩⲛ,1,EXIST,,"there is, there are",～がある,il y a,,,
ⲟⲩⲛⲁⲙ,1,N,,,,,,,
ⲟⲩⲛⲟⲩ,1,N,,,,,,,
ⲟⲩⲛⲧⲁ,1,EXIST,,have (possess),持つ,"avoir, posséder",,,
ⲟⲩⲛⲧⲉ,1,EXIST,,have (possess),持つ,"avoir, posséder",,,
ⲟⲩⲟϣⲕ,1,VSTAT,,,,,,,
ⲟⲩⲟⲉⲓϣ,1,N,,,,,,,
ⲟⲩⲟⲉⲓⲉ,1,N,,"farmer, husbandman",農夫,cultivateur,,,
ⲟⲩⲟⲓ,1,N,,woe,災い,malheur,,,
ⲟⲩⲟⲙϥ,1,N,,,,,,,
ⲟⲩⲟⲡ,1,VSTAT,,"be pure, holy (stat.)",聖い（状態）,être pur (statif),,,
ⲟⲩⲧⲉ,1,CONJ,Y,"neither, nor (οὔτε)",～も～ない,ni (οὔτε),,,
